trade_date,code,name,day_chg_pct,day_amount_yi,market_cap_yi,next_trade_date,next_day_chg_pct
2026-03-10,300285,国瓷材料,11.0659,26.8363,308.5864,2026-03-11,3.8441
2026-03-10,688585,上纬新材,14.9717,1248.7044,466.4475,2026-03-11,-4.8529
2026-03-10,300811,铂科新材,17.2273,23.2293,212.8003,2026-03-11,-0.7283
2026-03-10,300257,开山股份,19.9930,13.7632,277.7210,2026-03-11,0.6991
2026-03-11,002407,多氟多,5.0737,33.5785,331.2974,2026-03-12,-0.8809
2026-03-11,600256,广汇能源,5.0822,32.0552,430.8210,2026-03-12,8.5349
2026-03-11,603083,剑桥科技,5.1291,58.6567,357.5522,2026-03-12,-2.8988
2026-03-11,688390,固德威,5.1549,1804.2569,234.4335,2026-03-12,-1.1742
2026-03-11,601778,晶科科技,5.1693,47.0064,177.4787,2026-03-12,4.0678
2026-03-11,300806,斯迪克,5.1845,17.4738,192.4714,2026-03-12,-1.0700
2026-03-11,600163,中闽能源,5.2870,7.4084,142.5344,2026-03-12,0.1435
2026-03-11,688172,燕东微,5.3708,926.0440,547.3488,2026-03-12,1.0194
2026-03-11,000837,秦川机床,5.4530,10.0217,108.0442,2026-03-12,-1.0342
2026-03-11,002532,天山铝业,5.7094,16.5348,808.1776,2026-03-12,4.1711
2026-03-11,000591,太阳能,5.7234,26.0426,218.1990,2026-03-12,0.3008
2026-03-11,600956,新天绿能,5.7811,3.9814,390.7992,2026-03-12,10.0000
2026-03-11,003022,联泓新科,5.7964,5.5272,264.8431,2026-03-12,0.7146
2026-03-11,600869,远东股份,5.8140,17.5076,299.8346,2026-03-12,-6.7308
2026-03-11,002756,永兴材料,5.9033,17.2772,407.4529,2026-03-12,-3.6085
2026-03-11,600032,浙江新能,5.9302,5.0202,243.3531,2026-03-12,1.4270
2026-03-11,600110,诺德股份,5.9432,12.7534,152.5224,2026-03-12,0.2439
2026-03-11,600157,永泰能源,5.9459,46.3583,397.0833,2026-03-12,3.5714
2026-03-11,301293,三博脑科,5.9609,24.3172,135.6012,2026-03-12,3.0917
2026-03-11,001301,尚太科技,6.0575,7.6176,193.5675,2026-03-12,-0.6590
2026-03-11,600330,天通股份,6.0976,45.2383,190.6890,2026-03-12,5.0356
2026-03-11,688097,博众精工,6.1288,999.1043,234.5347,2026-03-12,17.2325
2026-03-11,002281,光迅科技,6.1862,93.8207,676.8816,2026-03-12,8.0118
2026-03-11,601898,中煤能源,6.6071,14.5060,2287.1194,2026-03-12,8.0960
2026-03-11,300641,正丹股份,6.6905,6.9913,105.7922,2026-03-12,-1.6754
2026-03-11,688779,五矿新能,6.7753,911.9043,199.0954,2026-03-12,-1.5261
2026-03-11,301327,华宝新能,6.7859,5.5879,125.7115,2026-03-12,2.5982
2026-03-11,600866,星湖科技,6.8331,7.2272,119.4599,2026-03-12,-1.2300
2026-03-11,600426,华鲁恒升,6.8883,18.6324,767.9566,2026-03-12,2.5877
2026-03-11,300390,天华新能,7.2012,23.9838,485.7400,2026-03-12,0.2929
2026-03-11,301018,申菱环境,7.2334,25.3431,244.2363,2026-03-12,-6.8709
2026-03-11,601869,长飞光纤,7.2544,61.6765,2483.7153,2026-03-12,-2.0039
2026-03-11,300323,华灿光电,7.2926,31.6176,155.6456,2026-03-12,13.9337
